shift_id,timestamp,weather_condition,visibility_meters,temperature_celsius,wind_speed_kmph,worker_fatigue_hours,overtime_workers_count,equipment_fault_count,communication_failure_count,active_staff_count,aircraft_on_ramp_count,day_traffic_profile,safety_risk_score,risk_category
JED-SHIFT-12682,2036-09-26T00:00:00Z,CLEAR,9681,21.2,9.0,1.2,1,1,1,81,4,WEEKEND_RUSH,0.21,LOW_RISK
JED-SHIFT-16682,2040-05-21T08:00:00Z,CLEAR,9681,21.2,1.5,1.2,1,1,1,61,4,WEEKDAY_CALM,0.21,LOW_RISK
JED-SHIFT-07763,2032-03-31T08:00:00Z,CLEAR,9762,22.4,10.5,2.4,2,0,0,82,5,WEEKDAY_CALM,0.22,LOW_RISK
JED-SHIFT-07651,2032-02-23T00:00:00Z,CLEAR,9650,20.0,0.0,0.0,2,0,0,90,5,WEEKDAY_CALM,0.3,LOW_RISK
JED-SHIFT-33877,2056-01-30T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,206,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-19794,2043-03-24T16:00:00Z,CLEAR,9793,23.6,12.0,3.6,1,1,1,113,4,WEEKDAY_CALM,0.33,LOW_RISK
JED-SHIFT-13984,2037-12-04T00:00:00Z,CLEAR,9983,23.6,4.5,3.6,3,1,1,63,10,WEEKEND_RUSH,0.23,LOW_RISK
JED-SHIFT-16578,2040-04-16T16:00:00Z,CLEAR,9577,28.4,3.0,2.4,1,1,1,77,4,WEEKDAY_CALM,0.37,LOW_RISK
JED-SHIFT-15259,2039-02-02T00:00:00Z,CLEAR,9258,29.6,4.5,3.6,2,0,0,78,5,WEEKDAY_CALM,0.38,LOW_RISK
JED-SHIFT-23293,2046-06-03T00:00:00Z,DUST_HAZE,5892,32.0,27.0,4.0,7,2,1,112,15,WEEKDAY_CALM,0.62,MODERATE_RISK
JED-SHIFT-33369,2055-08-13T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,198,19,WEEKEND_RUSH,0.86,HIGH_RISK
JED-SHIFT-35643,2057-09-09T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,222,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-37580,2059-06-17T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,209,12,WEEKDAY_CALM,0.9,HIGH_RISK
JED-SHIFT-01449,2026-06-26T16:00:00Z,CLEAR,9448,29.6,12.0,3.6,0,0,0,68,3,WEEKEND_RUSH,0.28,LOW_RISK
JED-SHIFT-19928,2043-05-08T08:00:00Z,CLEAR,9927,28.4,10.5,2.4,3,1,1,67,10,WEEKEND_RUSH,0.27,LOW_RISK
JED-SHIFT-20630,2043-12-28T08:00:00Z,CLEAR,3229,39.0,19.0,5.0,9,3,2,169,19,WEEKDAY_CALM,0.69,MODERATE_RISK
JED-SHIFT-04343,2029-02-15T08:00:00Z,CLEAR,9342,22.4,10.5,2.4,2,0,0,82,9,WEEKDAY_CALM,0.22,LOW_RISK
JED-SHIFT-18433,2041-12-26T00:00:00Z,CLEAR,9432,22.4,18.0,2.4,0,0,0,72,3,WEEKDAY_CALM,0.32,LOW_RISK
JED-SHIFT-14207,2038-02-16T08:00:00Z,CLEAR,9206,27.2,1.5,1.2,2,0,0,106,9,WEEKDAY_CALM,0.26,LOW_RISK
JED-SHIFT-14755,2038-08-18T00:00:00Z,CLEAR,9754,24.8,13.5,4.8,2,0,0,114,5,WEEKDAY_CALM,0.34,LOW_RISK
JED-SHIFT-25079,2048-01-19T08:00:00Z,CLEAR,4678,38.0,28.0,6.0,8,3,2,138,16,WEEKDAY_CALM,0.68,MODERATE_RISK
JED-SHIFT-11057,2035-04-03T08:00:00Z,CLEAR,9056,27.2,1.5,1.2,0,0,0,76,3,WEEKDAY_CALM,0.36,LOW_RISK
JED-SHIFT-20083,2043-06-29T00:00:00Z,CLEAR,9082,22.4,18.0,2.4,2,0,0,102,5,WEEKDAY_CALM,0.22,LOW_RISK
JED-SHIFT-12761,2036-10-22T08:00:00Z,CLEAR,9760,20.0,15.0,0.0,0,0,0,100,3,WEEKDAY_CALM,0.2,LOW_RISK
JED-SHIFT-04220,2029-01-05T08:00:00Z,CLEAR,9219,30.8,6.0,4.8,3,1,1,79,6,WEEKEND_RUSH,0.39,LOW_RISK
JED-SHIFT-28892,2051-07-13T08:00:00Z,CLEAR,5491,31.0,16.0,7.0,6,3,2,111,14,WEEKDAY_CALM,0.61,MODERATE_RISK
JED-SHIFT-10411,2034-08-31T00:00:00Z,CLEAR,9410,20.0,0.0,0.0,2,0,0,90,5,WEEKDAY_CALM,0.3,LOW_RISK
JED-SHIFT-19368,2042-11-02T16:00:00Z,CLEAR,9367,28.4,3.0,2.4,3,1,1,107,10,WEEKDAY_CALM,0.27,LOW_RISK
JED-SHIFT-02659,2027-08-04T00:00:00Z,CLEAR,9658,29.6,4.5,3.6,2,0,0,78,5,WEEKDAY_CALM,0.38,LOW_RISK
JED-SHIFT-19781,2043-03-20T08:00:00Z,CLEAR,9780,20.0,15.0,0.0,0,0,0,100,7,WEEKEND_RUSH,0.2,LOW_RISK
JED-SHIFT-31508,2053-12-01T08:00:00Z,CLEAR,5107,37.0,22.0,7.0,7,3,2,167,19,WEEKDAY_CALM,0.67,MODERATE_RISK
JED-SHIFT-03708,2028-07-18T16:00:00Z,CLEAR,9707,28.4,3.0,2.4,3,1,1,107,6,WEEKDAY_CALM,0.27,LOW_RISK
JED-SHIFT-06405,2031-01-03T16:00:00Z,CLEAR,9404,24.8,21.0,4.8,0,0,0,104,7,WEEKEND_RUSH,0.24,LOW_RISK
JED-SHIFT-12427,2036-07-03T00:00:00Z,CLEAR,9426,27.2,9.0,1.2,2,0,0,66,5,WEEKDAY_CALM,0.26,LOW_RISK
JED-SHIFT-09195,2033-07-21T16:00:00Z,CLEAR,9194,24.8,21.0,4.8,2,0,0,74,5,WEEKDAY_CALM,0.34,LOW_RISK
JED-SHIFT-19278,2042-10-03T16:00:00Z,CLEAR,9277,28.4,3.0,2.4,1,1,1,77,8,WEEKEND_RUSH,0.37,LOW_RISK
JED-SHIFT-20204,2043-08-08T08:00:00Z,CLEAR,9203,23.6,19.5,3.6,3,1,1,103,6,WEEKEND_RUSH,0.23,LOW_RISK
JED-SHIFT-24860,2047-11-07T08:00:00Z,CLEAR,4459,39.0,19.0,7.0,9,3,2,159,14,WEEKDAY_CALM,0.69,MODERATE_RISK
JED-SHIFT-02895,2027-10-21T16:00:00Z,CLEAR,9894,24.8,21.0,4.8,2,0,0,74,9,WEEKDAY_CALM,0.34,LOW_RISK
JED-SHIFT-29084,2051-09-15T08:00:00Z,CLEAR,5683,33.0,28.0,7.0,8,3,2,143,24,WEEKEND_RUSH,0.63,MODERATE_RISK
JED-SHIFT-16591,2040-04-21T00:00:00Z,CLEAR,9590,20.0,0.0,0.0,2,0,0,90,9,WEEKEND_RUSH,0.3,LOW_RISK
JED-SHIFT-08566,2032-12-24T00:00:00Z,CLEAR,9565,26.0,0.0,0.0,1,1,1,105,8,WEEKEND_RUSH,0.25,LOW_RISK
JED-SHIFT-06134,2030-10-05T08:00:00Z,CLEAR,9133,23.6,19.5,3.6,1,1,1,73,8,WEEKEND_RUSH,0.33,LOW_RISK
JED-SHIFT-06494,2031-02-02T08:00:00Z,CLEAR,9493,23.6,19.5,3.6,1,1,1,73,8,WEEKDAY_CALM,0.33,LOW_RISK
JED-SHIFT-27964,2050-09-07T00:00:00Z,DUST_HAZE,4563,33.0,18.0,7.0,8,2,1,143,17,WEEKDAY_CALM,0.63,MODERATE_RISK
JED-SHIFT-22322,2045-07-14T08:00:00Z,CLEAR,4921,31.0,16.0,5.0,6,3,2,101,22,WEEKEND_RUSH,0.61,MODERATE_RISK
JED-SHIFT-39324,2061-01-18T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,203,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-22858,2046-01-09T00:00:00Z,DUST_HAZE,5457,37.0,27.0,5.0,7,2,1,157,14,WEEKDAY_CALM,0.67,MODERATE_RISK
JED-SHIFT-34167,2056-05-05T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,196,19,WEEKEND_RUSH,0.86,HIGH_RISK
JED-SHIFT-10348,2034-08-10T00:00:00Z,CLEAR,9347,28.4,18.0,2.4,3,1,1,87,6,WEEKDAY_CALM,0.27,LOW_RISK
JED-SHIFT-01205,2026-04-06T08:00:00Z,CLEAR,9204,24.8,6.0,4.8,0,0,0,64,7,WEEKDAY_CALM,0.24,LOW_RISK
JED-SHIFT-15618,2039-06-01T16:00:00Z,CLEAR,9617,28.4,3.0,2.4,1,1,1,77,4,WEEKDAY_CALM,0.37,LOW_RISK
JED-SHIFT-17855,2041-06-16T08:00:00Z,CLEAR,9854,24.8,6.0,4.8,2,0,0,94,9,WEEKDAY_CALM,0.34,LOW_RISK
JED-SHIFT-14364,2038-04-09T16:00:00Z,CLEAR,9363,23.6,12.0,3.6,3,1,1,83,6,WEEKEND_RUSH,0.23,LOW_RISK
JED-SHIFT-23856,2046-12-07T16:00:00Z,CLEAR,3455,35.0,20.0,7.0,5,4,3,115,21,WEEKEND_RUSH,0.65,MODERATE_RISK
JED-SHIFT-08048,2032-07-04T08:00:00Z,CLEAR,9047,28.4,10.5,2.4,3,1,1,67,10,WEEKDAY_CALM,0.27,LOW_RISK
JED-SHIFT-03821,2028-08-25T08:00:00Z,CLEAR,9820,20.0,15.0,0.0,0,0,0,100,7,WEEKEND_RUSH,0.2,LOW_RISK
JED-SHIFT-31054,2053-07-03T00:00:00Z,DUST_HAZE,4653,33.0,18.0,5.0,8,2,1,113,20,WEEKDAY_CALM,0.63,MODERATE_RISK
JED-SHIFT-31137,2053-07-30T16:00:00Z,CLEAR,4736,36.0,26.0,4.0,6,4,3,116,19,WEEKDAY_CALM,0.66,MODERATE_RISK
JED-SHIFT-21299,2044-08-07T08:00:00Z,CLEAR,3898,38.0,28.0,6.0,8,3,2,118,16,WEEKDAY_CALM,0.68,MODERATE_RISK
JED-SHIFT-14479,2038-05-18T00:00:00Z,CLEAR,9478,29.6,4.5,3.6,2,0,0,78,9,WEEKDAY_CALM,0.38,LOW_RISK
JED-SHIFT-33811,2056-01-08T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,190,20,WEEKEND_RUSH,0.88,HIGH_RISK
JED-SHIFT-30782,2053-04-03T08:00:00Z,CLEAR,4381,31.0,16.0,5.0,6,3,2,161,14,WEEKDAY_CALM,0.61,MODERATE_RISK
JED-SHIFT-29206,2051-10-26T00:00:00Z,DUST_HAZE,5805,35.0,15.0,5.0,5,2,1,105,20,WEEKDAY_CALM,0.65,MODERATE_RISK
JED-SHIFT-29869,2052-06-03T00:00:00Z,DUST_HAZE,3468,38.0,18.0,4.0,8,2,1,128,18,WEEKDAY_CALM,0.68,MODERATE_RISK
JED-SHIFT-39567,2061-04-09T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,196,19,WEEKEND_RUSH,0.86,HIGH_RISK
JED-SHIFT-17024,2040-09-12T08:00:00Z,CLEAR,9023,23.6,19.5,3.6,3,1,1,103,10,WEEKDAY_CALM,0.23,LOW_RISK
JED-SHIFT-07574,2032-01-28T08:00:00Z,CLEAR,9573,23.6,19.5,3.6,1,1,1,73,8,WEEKDAY_CALM,0.33,LOW_RISK
JED-SHIFT-32234,2054-07-31T08:00:00Z,CLEAR,5833,33.0,28.0,5.0,8,3,2,173,24,WEEKEND_RUSH,0.63,MODERATE_RISK
JED-SHIFT-18489,2042-01-13T16:00:00Z,CLEAR,9488,29.6,12.0,3.6,0,0,0,68,3,WEEKDAY_CALM,0.28,LOW_RISK
JED-SHIFT-20241,2043-08-20T16:00:00Z,CLEAR,9240,20.0,7.5,0.0,0,0,0,80,3,WEEKDAY_CALM,0.2,LOW_RISK
JED-SHIFT-22705,2045-11-19T00:00:00Z,DUST_HAZE,5304,34.0,24.0,4.0,9,2,1,164,15,WEEKDAY_CALM,0.64,MODERATE_RISK
JED-SHIFT-19045,2042-07-18T00:00:00Z,CLEAR,9044,24.8,13.5,4.8,0,0,0,84,7,WEEKEND_RUSH,0.24,LOW_RISK
JED-SHIFT-10747,2034-12-21T00:00:00Z,CLEAR,9746,27.2,9.0,1.2,2,0,0,66,5,WEEKDAY_CALM,0.26,LOW_RISK
JED-SHIFT-12142,2036-03-30T00:00:00Z,CLEAR,9141,21.2,9.0,1.2,1,1,1,81,8,WEEKDAY_CALM,0.21,LOW_RISK
JED-SHIFT-07194,2031-09-23T16:00:00Z,CLEAR,9193,23.6,12.0,3.6,1,1,1,113,4,WEEKDAY_CALM,0.33,LOW_RISK
JED-SHIFT-15986,2039-10-02T08:00:00Z,CLEAR,9985,26.0,15.0,0.0,1,1,1,85,4,WEEKDAY_CALM,0.25,LOW_RISK
JED-SHIFT-09153,2033-07-07T16:00:00Z,CLEAR,9152,22.4,3.0,2.4,0,0,0,92,3,WEEKDAY_CALM,0.32,LOW_RISK
JED-SHIFT-03661,2028-07-03T00:00:00Z,CLEAR,9660,20.0,0.0,0.0,0,0,0,60,7,WEEKDAY_CALM,0.2,LOW_RISK
JED-SHIFT-14166,2038-02-02T16:00:00Z,CLEAR,9165,26.0,7.5,0.0,1,1,1,65,8,WEEKDAY_CALM,0.25,LOW_RISK
JED-SHIFT-07719,2032-03-16T16:00:00Z,CLEAR,9718,29.6,12.0,3.6,2,0,0,98,9,WEEKDAY_CALM,0.38,LOW_RISK
JED-SHIFT-37987,2059-10-31T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,216,20,WEEKEND_RUSH,0.88,HIGH_RISK
JED-SHIFT-16295,2040-01-13T08:00:00Z,CLEAR,9294,24.8,6.0,4.8,2,0,0,94,9,WEEKEND_RUSH,0.34,LOW_RISK
JED-SHIFT-05491,2030-03-05T00:00:00Z,CLEAR,9490,20.0,0.0,0.0,2,0,0,90,5,WEEKDAY_CALM,0.3,LOW_RISK
JED-SHIFT-15653,2039-06-13T08:00:00Z,CLEAR,9652,22.4,10.5,2.4,0,0,0,112,7,WEEKDAY_CALM,0.32,LOW_RISK
JED-SHIFT-12267,2036-05-10T16:00:00Z,CLEAR,9266,27.2,16.5,1.2,2,0,0,86,5,WEEKEND_RUSH,0.26,LOW_RISK
JED-SHIFT-23337,2046-06-17T16:00:00Z,CLEAR,5936,36.0,26.0,4.0,6,4,3,156,17,WEEKDAY_CALM,0.66,MODERATE_RISK
JED-SHIFT-34481,2056-08-18T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,210,12,WEEKEND_RUSH,0.9,HIGH_RISK
JED-SHIFT-06109,2030-09-27T00:00:00Z,CLEAR,9108,29.6,4.5,3.6,0,0,0,108,7,WEEKEND_RUSH,0.28,LOW_RISK
JED-SHIFT-01497,2026-07-12T16:00:00Z,CLEAR,9496,27.2,16.5,1.2,0,0,0,116,3,WEEKDAY_CALM,0.36,LOW_RISK
JED-SHIFT-11922,2036-01-16T16:00:00Z,CLEAR,9921,21.2,16.5,1.2,1,1,1,101,4,WEEKDAY_CALM,0.21,LOW_RISK
JED-SHIFT-22066,2045-04-20T00:00:00Z,DUST_HAZE,4665,35.0,15.0,5.0,5,2,1,165,20,WEEKDAY_CALM,0.65,MODERATE_RISK
JED-SHIFT-20827,2044-03-03T00:00:00Z,DUST_HAZE,3426,36.0,21.0,6.0,6,2,1,126,20,WEEKDAY_CALM,0.66,MODERATE_RISK
JED-SHIFT-29906,2052-06-15T08:00:00Z,CLEAR,3505,35.0,25.0,5.0,5,3,2,165,21,WEEKEND_RUSH,0.65,MODERATE_RISK
JED-SHIFT-28369,2051-01-20T00:00:00Z,DUST_HAZE,4968,38.0,18.0,4.0,8,2,1,148,24,WEEKEND_RUSH,0.68,MODERATE_RISK
JED-SHIFT-18442,2041-12-29T00:00:00Z,CLEAR,9441,21.2,9.0,1.2,1,1,1,81,4,WEEKDAY_CALM,0.21,LOW_RISK
JED-SHIFT-13071,2037-02-02T16:00:00Z,CLEAR,9070,20.0,7.5,0.0,2,0,0,110,9,WEEKDAY_CALM,0.3,LOW_RISK
JED-SHIFT-12102,2036-03-16T16:00:00Z,CLEAR,9101,21.2,16.5,1.2,1,1,1,101,8,WEEKDAY_CALM,0.21,LOW_RISK
JED-SHIFT-16329,2040-01-24T16:00:00Z,CLEAR,9328,29.6,12.0,3.6,0,0,0,68,3,WEEKDAY_CALM,0.28,LOW_RISK
JED-SHIFT-33695,2055-11-30T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,224,12,WEEKDAY_CALM,0.9,HIGH_RISK
JED-SHIFT-33802,2056-01-05T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,181,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-26782,2049-08-09T00:00:00Z,DUST_HAZE,3381,31.0,21.0,5.0,6,2,1,161,18,WEEKDAY_CALM,0.61,MODERATE_RISK
JED-SHIFT-14382,2038-04-15T16:00:00Z,CLEAR,9381,21.2,16.5,1.2,1,1,1,101,8,WEEKDAY_CALM,0.21,LOW_RISK
JED-SHIFT-11043,2035-03-29T16:00:00Z,CLEAR,9042,22.4,3.0,2.4,2,0,0,62,5,WEEKDAY_CALM,0.22,LOW_RISK
JED-SHIFT-16287,2040-01-10T16:00:00Z,CLEAR,9286,27.2,16.5,1.2,2,0,0,86,9,WEEKDAY_CALM,0.26,LOW_RISK
JED-SHIFT-15559,2039-05-13T00:00:00Z,CLEAR,9558,29.6,4.5,3.6,2,0,0,78,9,WEEKEND_RUSH,0.38,LOW_RISK
JED-SHIFT-10841,2035-01-21T08:00:00Z,CLEAR,9840,20.0,15.0,0.0,0,0,0,100,3,WEEKDAY_CALM,0.2,LOW_RISK
JED-SHIFT-32755,2055-01-21T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,184,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-19222,2042-09-15T00:00:00Z,CLEAR,9221,21.2,9.0,1.2,1,1,1,81,8,WEEKDAY_CALM,0.21,LOW_RISK
JED-SHIFT-01249,2026-04-21T00:00:00Z,CLEAR,9248,29.6,4.5,3.6,0,0,0,108,3,WEEKDAY_CALM,0.28,LOW_RISK
JED-SHIFT-16615,2040-04-29T00:00:00Z,CLEAR,9614,24.8,13.5,4.8,2,0,0,114,9,WEEKDAY_CALM,0.34,LOW_RISK
JED-SHIFT-07184,2031-09-20T08:00:00Z,CLEAR,9183,23.6,19.5,3.6,3,1,1,103,10,WEEKEND_RUSH,0.23,LOW_RISK
JED-SHIFT-13365,2037-05-11T16:00:00Z,CLEAR,9364,24.8,21.0,4.8,0,0,0,104,7,WEEKDAY_CALM,0.24,LOW_RISK
JED-SHIFT-17832,2041-06-08T16:00:00Z,CLEAR,9831,21.2,16.5,1.2,3,1,1,71,10,WEEKEND_RUSH,0.31,LOW_RISK
JED-SHIFT-09350,2033-09-11T08:00:00Z,CLEAR,9349,30.8,6.0,4.8,1,1,1,109,8,WEEKDAY_CALM,0.29,LOW_RISK
JED-SHIFT-19867,2043-04-18T00:00:00Z,CLEAR,9866,27.2,9.0,1.2,2,0,0,66,5,WEEKEND_RUSH,0.26,LOW_RISK
JED-SHIFT-35883,2057-11-28T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,212,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-12155,2036-04-03T08:00:00Z,CLEAR,9154,24.8,6.0,4.8,2,0,0,94,5,WEEKDAY_CALM,0.34,LOW_RISK
JED-SHIFT-17081,2040-10-01T08:00:00Z,CLEAR,9080,20.0,15.0,0.0,0,0,0,100,3,WEEKDAY_CALM,0.2,LOW_RISK
JED-SHIFT-24415,2047-06-12T00:00:00Z,DUST_HAZE,4014,34.0,24.0,6.0,9,2,1,114,17,WEEKDAY_CALM,0.64,MODERATE_RISK
JED-SHIFT-25372,2048-04-26T00:00:00Z,DUST_HAZE,4971,31.0,21.0,7.0,6,2,1,111,15,WEEKDAY_CALM,0.61,MODERATE_RISK
JED-SHIFT-30177,2052-09-13T16:00:00Z,CLEAR,3776,36.0,26.0,4.0,6,4,3,116,22,WEEKEND_RUSH,0.66,MODERATE_RISK
JED-SHIFT-05372,2030-01-24T08:00:00Z,CLEAR,9371,21.2,1.5,1.2,3,1,1,91,6,WEEKDAY_CALM,0.31,LOW_RISK
JED-SHIFT-25306,2048-04-04T00:00:00Z,DUST_HAZE,4905,35.0,15.0,5.0,5,2,1,125,21,WEEKEND_RUSH,0.65,MODERATE_RISK
JED-SHIFT-12323,2036-05-29T08:00:00Z,CLEAR,9322,22.4,10.5,2.4,2,0,0,82,5,WEEKDAY_CALM,0.22,LOW_RISK
JED-SHIFT-19832,2043-04-06T08:00:00Z,CLEAR,9831,21.2,1.5,1.2,3,1,1,91,10,WEEKDAY_CALM,0.31,LOW_RISK
JED-SHIFT-27583,2050-05-03T00:00:00Z,DUST_HAZE,4182,32.0,27.0,6.0,7,2,1,162,14,WEEKDAY_CALM,0.62,MODERATE_RISK
JED-SHIFT-36072,2058-01-30T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,201,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-25621,2048-07-18T00:00:00Z,DUST_HAZE,5220,30.0,15.0,4.0,5,2,1,120,21,WEEKEND_RUSH,0.6,MODERATE_RISK
JED-SHIFT-21233,2044-07-16T08:00:00Z,CLEAR,3832,32.0,22.0,4.0,7,3,2,132,23,WEEKEND_RUSH,0.62,MODERATE_RISK
JED-SHIFT-21426,2044-09-18T16:00:00Z,CLEAR,4025,35.0,20.0,5.0,5,4,3,165,17,WEEKDAY_CALM,0.65,MODERATE_RISK
JED-SHIFT-13530,2037-07-05T16:00:00Z,CLEAR,9529,30.8,21.0,4.8,1,1,1,89,4,WEEKDAY_CALM,0.29,LOW_RISK
JED-SHIFT-35629,2057-09-05T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,208,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-34444,2056-08-06T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,223,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-31044,2053-06-29T16:00:00Z,CLEAR,4643,33.0,23.0,7.0,8,4,3,103,17,WEEKDAY_CALM,0.63,MODERATE_RISK
JED-SHIFT-34082,2056-04-07T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,211,12,WEEKEND_RUSH,0.9,HIGH_RISK
JED-SHIFT-00280,2025-06-02T00:00:00Z,CLEAR,9279,30.8,13.5,4.8,3,1,1,99,10,WEEKDAY_CALM,0.39,LOW_RISK
JED-SHIFT-11508,2035-08-31T16:00:00Z,CLEAR,9507,28.4,3.0,2.4,3,1,1,107,6,WEEKEND_RUSH,0.27,LOW_RISK
JED-SHIFT-35329,2057-05-28T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,208,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-13478,2037-06-18T08:00:00Z,CLEAR,9477,28.4,10.5,2.4,1,1,1,97,8,WEEKDAY_CALM,0.37,LOW_RISK
JED-SHIFT-27881,2050-08-10T08:00:00Z,CLEAR,4480,30.0,25.0,4.0,5,3,2,140,18,WEEKDAY_CALM,0.6,MODERATE_RISK
JED-SHIFT-12423,2036-07-01T16:00:00Z,CLEAR,9422,22.4,3.0,2.4,2,0,0,62,9,WEEKDAY_CALM,0.22,LOW_RISK
JED-SHIFT-17279,2040-12-06T08:00:00Z,CLEAR,9278,29.6,19.5,3.6,2,0,0,118,9,WEEKDAY_CALM,0.38,LOW_RISK
JED-SHIFT-08778,2033-03-04T16:00:00Z,CLEAR,9777,28.4,3.0,2.4,1,1,1,77,4,WEEKEND_RUSH,0.37,LOW_RISK
JED-SHIFT-37182,2059-02-04T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,211,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-02306,2027-04-08T08:00:00Z,CLEAR,9305,26.0,15.0,0.0,1,1,1,85,4,WEEKDAY_CALM,0.25,LOW_RISK
JED-SHIFT-21648,2044-12-01T16:00:00Z,CLEAR,4247,37.0,17.0,7.0,7,4,3,147,15,WEEKDAY_CALM,0.67,MODERATE_RISK
JED-SHIFT-02351,2027-04-23T08:00:00Z,CLEAR,9350,20.0,15.0,0.0,2,0,0,70,9,WEEKEND_RUSH,0.3,LOW_RISK
JED-SHIFT-03156,2028-01-16T16:00:00Z,CLEAR,9155,26.0,7.5,0.0,3,1,1,95,6,WEEKDAY_CALM,0.35,LOW_RISK
JED-SHIFT-35085,2057-03-07T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,214,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-38394,2060-03-14T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,223,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-23486,2046-08-06T08:00:00Z,CLEAR,3085,35.0,25.0,5.0,5,3,2,145,19,WEEKDAY_CALM,0.65,MODERATE_RISK
JED-SHIFT-14300,2038-03-19T08:00:00Z,CLEAR,9299,30.8,6.0,4.8,3,1,1,79,6,WEEKEND_RUSH,0.39,LOW_RISK
JED-SHIFT-22851,2046-01-06T16:00:00Z,CLEAR,5450,30.0,20.0,6.0,5,4,3,150,21,WEEKEND_RUSH,0.6,MODERATE_RISK
JED-SHIFT-05698,2030-05-13T00:00:00Z,CLEAR,9697,28.4,18.0,2.4,1,1,1,117,4,WEEKDAY_CALM,0.37,LOW_RISK
JED-SHIFT-13526,2037-07-04T08:00:00Z,CLEAR,9525,26.0,15.0,0.0,1,1,1,85,8,WEEKEND_RUSH,0.25,LOW_RISK
JED-SHIFT-22508,2045-09-14T08:00:00Z,CLEAR,5107,37.0,22.0,7.0,7,3,2,127,14,WEEKDAY_CALM,0.67,MODERATE_RISK
JED-SHIFT-37557,2059-06-09T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,186,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-39836,2061-07-08T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,215,12,WEEKEND_RUSH,0.9,HIGH_RISK
JED-SHIFT-10513,2034-10-04T00:00:00Z,CLEAR,9512,22.4,18.0,2.4,0,0,0,72,3,WEEKDAY_CALM,0.32,LOW_RISK
JED-SHIFT-15878,2039-08-27T08:00:00Z,CLEAR,9877,28.4,10.5,2.4,1,1,1,97,8,WEEKEND_RUSH,0.37,LOW_RISK
JED-SHIFT-34602,2056-09-27T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,181,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-08920,2033-04-21T00:00:00Z,CLEAR,9919,30.8,13.5,4.8,3,1,1,99,10,WEEKDAY_CALM,0.39,LOW_RISK
JED-SHIFT-18440,2041-12-28T08:00:00Z,CLEAR,9439,30.8,6.0,4.8,3,1,1,79,10,WEEKEND_RUSH,0.39,LOW_RISK
JED-SHIFT-09052,2033-06-04T00:00:00Z,CLEAR,9051,21.2,9.0,1.2,3,1,1,111,6,WEEKEND_RUSH,0.31,LOW_RISK
JED-SHIFT-35438,2057-07-03T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,217,12,WEEKDAY_CALM,0.9,HIGH_RISK
